Name	3UTR	5UTR	CDS
uc001aob.4	2396.0	371.0	903.0
uc001aoz.3	1491.0	249.0	1389.0
uc001apa.1	2.0	1209.0	945.0
uc010oae.2	1956.0	339.0	822.0
uc001apv.3	1956.0	185.0	822.0
uc001aqv.4	3950.0	252.0	3462.0
uc009vmt.3	NA	NA	NA
uc001aqw.4	5016.0	252.0	5313.0
uc001aqx.4	5016.0	202.0	5451.0
uc001ara.3	3195.0	79.0	5352.0
uc001aqz.3	3195.0	79.0	5472.0
uc001aqy.3	3195.0	79.0	5394.0
uc001arb.3	3195.0	79.0	5430.0
uc010oap.2	2838.0	318.0	897.0
uc001art.3	2838.0	134.0	1245.0
uc001avg.3	1895.0	126.0	681.0
uc001avh.3	1552.0	856.0	5049.0
uc001avi.3	1944.0	856.0	5157.0
uc021ogk.1	2.0	219.0	2355.0
uc009vof.3	NA	NA	NA
uc009voe.3	NA	NA	NA
uc001avk.3	1552.0	275.0	4446.0
uc001axk.1	1028.0	204.0	10995.0
uc010obp.1	1028.0	0.0	10872.0
uc009vqi.1	4761.0	223.0	3384.0
uc001bft.2	4761.0	511.0	3720.0
uc001bfu.2	4761.0	223.0	3720.0
uc001bfv.1	1.0	812.0	1347.0
uc001bgk.2	4872.0	550.0	3231.0
uc010odv.1	4872.0	484.0	3231.0
uc001bgl.3	463.0	378.0	3081.0
uc001bgm.1	0.0	802.0	3072.0
uc001bgt.3	2521.0	381.0	1413.0
uc001bgu.3	2521.0	559.0	1413.0
uc001bho.3	2486.0	60.0	2397.0
uc001ble.4	2222.0	238.0	1179.0
uc001bld.4	2222.0	180.0	1179.0
uc010oew.2	2971.0	273.0	1026.0
uc009vsb.3	2971.0	156.0	1026.0
uc001blj.4	2971.0	347.0	1026.0
uc001bmv.1	1354.0	373.0	6858.0
uc001bmu.1	1354.0	373.0	6207.0
uc001bmt.1	0.0	373.0	5121.0
uc001bmw.1	1.0	283.0	3843.0
uc001bmx.1	1354.0	261.0	3396.0
uc009vsm.1	1354.0	582.0	1842.0
uc009vsn.1	1354.0	1313.0	1584.0
uc001bqz.3	830.0	139.0	1692.0
uc001bra.3	830.0	142.0	1722.0
uc001brb.3	830.0	142.0	1692.0
uc021okf.1	823.0	263.0	1740.0
uc010ofx.2	823.0	622.0	1590.0
uc001brc.3	823.0	497.0	1740.0
uc001bre.3	823.0	831.0	1590.0
uc001bvk.3	NA	NA	NA
uc001bvm.3	328.0	485.0	1023.0
uc001bvn.3	5522.0	485.0	1326.0
uc001byf.1	155.0	134.0	2172.0
uc021olg.1	939.0	1483.0	1917.0
uc010oht.2	938.0	352.0	3687.0
uc001byh.3	938.0	228.0	3978.0
uc009vup.3	279.0	393.0	1620.0
uc009vuq.1	285.0	228.0	2283.0
uc009vur.1	1.0	509.0	1371.0
uc001byk.2	2018.0	228.0	513.0
uc001byj.2	2018.0	134.0	513.0
uc001byi.2	2018.0	205.0	513.0
uc001byl.1	3436.0	146.0	516.0
uc009vut.3	595.0	201.0	3204.0
uc001byo.3	595.0	1344.0	2349.0
uc010ohu.2	595.0	146.0	3372.0
uc001byn.3	595.0	194.0	3429.0
uc001bym.3	595.0	146.0	3429.0
uc009vus.1	NA	NA	NA
uc001byu.3	2267.0	297.0	3675.0
uc009vuu.3	2267.0	238.0	4551.0
uc001byt.3	2267.0	80.0	4647.0
uc009vuv.3	2267.0	880.0	3864.0
uc001bzh.1	1756.0	488.0	690.0
uc021oli.1	0.0	0.0	690.0
uc001cbi.4	3299.0	115.0	1191.0
uc010oid.3	NA	NA	NA
uc010oim.2	1356.0	177.0	1098.0
uc001ccq.3	1356.0	177.0	1200.0
uc001ccr.3	1356.0	985.0	966.0
uc001cfc.4	474.0	31.0	5745.0
uc001cfd.4	474.0	693.0	4818.0
uc001cft.2	709.0	251.0	1137.0
uc001cne.3	410.0	276.0	1116.0
uc001crb.1	NA	NA	NA
uc010omn.1	997.0	252.0	3726.0
uc010omo.1	997.0	252.0	3813.0
uc001crc.1	997.0	155.0	3864.0
uc001crd.1	997.0	155.0	3867.0
uc001cre.1	997.0	364.0	3864.0
uc001crf.1	2.0	1642.0	1914.0
uc001crg.1	2.0	229.0	2883.0
uc001ctp.4	465.0	452.0	4101.0
uc001ctn.4	164.0	452.0	2289.0
uc001cto.4	465.0	452.0	4278.0
uc001cuk.2	1618.0	373.0	2280.0
uc001cul.2	1618.0	647.0	1254.0
uc001cwt.1	3270.0	200.0	627.0
uc001cwu.1	NA	NA	NA
uc001cze.3	1284.0	1043.0	996.0
uc001dhr.3	1135.0	486.0	1230.0
uc001dhp.3	1135.0	51.0	2709.0
uc001dhq.3	1135.0	476.0	2712.0
uc009wbz.1	144.0	476.0	1515.0
uc009wcm.3	1077.0	49.0	3585.0
uc001dku.4	887.0	49.0	2592.0
uc001dnm.3	785.0	425.0	2577.0
uc001dnn.3	785.0	412.0	2577.0
uc021opq.1	0.0	0.0	2577.0
uc001dnw.3	1498.0	283.0	3984.0
uc001dnv.3	1498.0	275.0	318.0
uc001dnx.3	1498.0	305.0	318.0
