Name	3UTR	5UTR	CDS
uc001abv.1	1.0	60.0	429.0
uc001abw.1	428.0	80.0	2046.0
uc031pkf.1	NA	NA	NA
uc031pkg.1	428.0	20.0	1722.0
uc031pke.1	428.0	453.0	1491.0
uc031pkd.1	NA	NA	NA
uc031pjv.1	428.0	660.0	1491.0
uc031pkc.1	428.0	20.0	1968.0
uc031pkb.1	428.0	150.0	1356.0
uc031pjn.1	1.0	402.0	558.0
uc031pjm.1	0.0	20.0	2064.0
uc031pjl.1	0.0	20.0	2100.0
uc031pka.1	428.0	450.0	1164.0
uc031pjz.1	NA	NA	NA
uc031pjy.1	428.0	612.0	1443.0
uc031pjx.1	428.0	20.0	2001.0
uc031pjw.1	NA	NA	NA
uc031pjp.1	428.0	20.0	1719.0
uc031pju.1	428.0	20.0	2049.0
uc031pjt.1	428.0	20.0	1860.0
uc031pkn.1	NA	NA	NA
uc031pjs.1	255.0	20.0	2046.0
uc031pkm.1	428.0	20.0	1806.0
uc001abx.2	428.0	20.0	1998.0
uc031pjr.1	428.0	701.0	1029.0
uc031pjq.1	428.0	450.0	1443.0
uc031pjo.1	NA	NA	NA
uc031pkl.1	NA	NA	NA
uc031pkk.1	NA	NA	NA
uc031pkj.1	255.0	20.0	1191.0
uc031pki.1	255.0	20.0	1188.0
uc031pkh.1	428.0	20.0	1671.0
uc031pko.1	0.0	35.0	1590.0
uc031pkp.1	428.0	195.0	1029.0
uc001acn.2	1075.0	631.0	1035.0
uc001acu.2	1075.0	432.0	597.0
uc001act.2	1075.0	486.0	1143.0
uc001acr.2	NA	NA	NA
uc001acs.2	NA	NA	NA
uc010nyd.1	NA	NA	NA
uc001adk.3	1772.0	30.0	990.0
uc001aeo.3	1133.0	415.0	645.0
uc001afm.3	1312.0	22.0	414.0
uc009vkd.3	1455.0	20.0	267.0
uc001aja.4	3448.0	72.0	2187.0
uc021ofl.1	NA	NA	NA
uc009vlm.3	NA	NA	NA
uc021ofk.1	NA	NA	NA
uc021ofj.1	NA	NA	NA
uc001akt.4	NA	NA	NA
uc001amk.3	3887.0	73.0	855.0
uc001aml.3	3887.0	468.0	567.0
uc001anz.1	4646.0	52.0	1620.0
uc001aoa.3	2641.0	52.0	1794.0
uc009vme.3	2641.0	142.0	693.0
uc001aob.4	2396.0	371.0	903.0
uc001aoc.3	505.0	159.0	720.0
uc001aod.3	505.0	69.0	717.0
uc001aoe.2	1498.0	69.0	528.0
uc001aoz.3	1491.0	249.0	1389.0
uc001apa.1	2.0	1209.0	945.0
uc001apt.3	6466.0	273.0	2376.0
uc010oae.2	1956.0	339.0	822.0
uc001apv.3	1956.0	185.0	822.0
uc001aqw.4	5016.0	252.0	5313.0
uc009vmt.3	NA	NA	NA
uc001aqv.4	3950.0	252.0	3462.0
uc001aqx.4	5016.0	202.0	5451.0
uc001ara.3	3195.0	79.0	5352.0
uc001aqz.3	3195.0	79.0	5472.0
uc001aqy.3	3195.0	79.0	5394.0
uc001arb.3	3195.0	79.0	5430.0
uc001art.3	2838.0	134.0	1245.0
uc010oap.2	2838.0	318.0	897.0
uc001atc.2	4950.0	229.0	1971.0
uc001atb.1	4950.0	198.0	2040.0
uc031plg.1	4950.0	240.0	1236.0
uc009vnd.1	NA	NA	NA
uc001atd.1	NA	NA	NA
uc001atm.3	734.0	113.0	2184.0
uc010obb.2	734.0	113.0	2325.0
uc001avg.3	1895.0	126.0	681.0
uc001avi.3	1944.0	856.0	5157.0
uc001avh.3	1552.0	856.0	5049.0
uc009voe.3	NA	NA	NA
uc009vof.3	NA	NA	NA
uc001avk.3	1552.0	275.0	4446.0
uc021ogk.1	2.0	219.0	2355.0
uc001avw.4	735.0	519.0	762.0
uc010obk.2	735.0	446.0	762.0
uc001avz.3	985.0	488.0	408.0
uc001avy.3	735.0	488.0	762.0
uc001avx.3	735.0	415.0	762.0
uc010obo.2	835.0	227.0	3060.0
uc001axk.1	1028.0	204.0	10995.0
uc010obp.1	1028.0	0.0	10872.0
uc001ayf.3	606.0	575.0	1875.0
uc001ayg.3	606.0	216.0	2154.0
uc001ayh.3	2447.0	17.0	513.0
uc001ayo.3	1199.0	90.0	792.0
uc010ocd.2	1199.0	90.0	714.0
uc001ayq.3	1093.0	90.0	822.0
uc021ogo.1	NA	NA	NA
uc001bca.3	657.0	722.0	876.0
uc021ohq.1	NA	NA	NA
uc001bby.3	657.0	352.0	876.0
uc001bcb.3	657.0	412.0	543.0
uc001bbz.3	657.0	305.0	681.0
uc001bcn.3	827.0	242.0	1905.0
uc001bco.1	387.0	271.0	1743.0
uc001bcp.1	387.0	271.0	1623.0
uc009vpn.1	420.0	350.0	945.0
uc001bcq.1	1.0	168.0	876.0
uc001bdi.4	1242.0	157.0	1059.0
uc001bfm.4	NA	NA	NA
uc001bfn.4	NA	NA	NA
uc001bfu.2	4761.0	223.0	3720.0
uc009vqi.1	4761.0	223.0	3384.0
uc001bft.2	4761.0	511.0	3720.0
uc001bfv.1	1.0	812.0	1347.0
uc010odv.1	4872.0	484.0	3231.0
uc001bgk.2	4872.0	550.0	3231.0
uc001bgl.3	463.0	378.0	3081.0
uc001bgm.1	0.0	802.0	3072.0
uc001bgu.3	2521.0	559.0	1413.0
uc001bgt.3	2521.0	381.0	1413.0
uc001bho.3	2486.0	60.0	2397.0
uc001bkx.3	1315.0	667.0	1041.0
uc021ojm.1	0.0	0.0	1041.0
uc001ble.4	2222.0	238.0	1179.0
uc001bld.4	2222.0	180.0	1179.0
uc010oew.2	2971.0	273.0	1026.0
uc009vsb.3	2971.0	156.0	1026.0
uc001blj.4	2971.0	347.0	1026.0
uc001bmu.1	1354.0	373.0	6207.0
uc001bmv.1	1354.0	373.0	6858.0
uc001bmt.1	0.0	373.0	5121.0
uc001bmw.1	1.0	283.0	3843.0
uc001bmx.1	1354.0	261.0	3396.0
uc009vsm.1	1354.0	582.0	1842.0
uc009vsn.1	1354.0	1313.0	1584.0
uc001bne.3	522.0	29.0	1578.0
uc009vsp.2	522.0	460.0	1011.0
uc010ofj.2	924.0	172.0	1278.0
uc009vsy.3	715.0	969.0	4812.0
uc009vsz.1	43.0	638.0	4812.0
uc021ojw.1	0.0	0.0	4812.0
uc001boh.1	2.0	1147.0	864.0
uc001brb.3	830.0	142.0	1692.0
uc001bra.3	830.0	142.0	1722.0
uc001bqz.3	830.0	139.0	1692.0
uc021okf.1	823.0	263.0	1740.0
uc010ofx.2	823.0	622.0	1590.0
uc001brc.3	823.0	497.0	1740.0
uc001bre.3	823.0	831.0	1590.0
uc001bse.2	3745.0	47.0	1329.0
uc001bsd.2	3745.0	1493.0	1155.0
uc010ogz.1	605.0	558.0	1101.0
uc009vua.2	605.0	47.0	1641.0
uc001bum.2	605.0	47.0	1401.0
